DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 147, -361, 389.7819903484511, 157.84373791232824]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [450, 'GNSS', -1920, 146, -359, 387.55257707825916, 157.86915027538458]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 37.09678003343485, 13.787125297214674, 22775, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -359, 387.55257707825916, 157.86915027538458]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [450, 'GNSS', -1920, 146, -359, 387.55257707825916, 157.86915027538458]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -359, 387.55257707825916, 157.86915027538458]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [450, 'GNSS', -1920, 146, -358, 386.62643468857635, 157.81332210655202]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -358, 386.62643468857635, 157.81332210655202]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -358, 386.62643468857635, 157.81332210655202]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -358, 386.62643468857635, 157.81332210655202]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 4 | Msg: [0, 'No Information', 'AMC421__']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1984, 146, -357, 385.700661135031, 157.75722588241308]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -357, 385.700661135031, 157.75722588241308]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1984, 146, -357, 385.700661135031, 157.75722588241308]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 37.09110066042108, 13.789991295855978, 22400, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 146, -356, 384.77525907989457, 157.70085977606925]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [500, 'GNSS', -1920, 145, -356, 384.39693026870026, 157.8387666771913]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [500, 'GNSS', -1920, 145, -356, 384.39693026870026, 157.8387666771913]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [500, 'GNSS', -1984, 145, -356, 384.39693026870026, 157.8387666771913]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 37.066707287804554, 13.802470331606658, 22175, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 37.066707287804554, 13.802470331606658, 22150, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1984, 144, -355, 383.0939832469312, 157.9208622985682]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1984, 143, -355, 382.7192182266263, 158.05959083604378]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1984, 142, -353, 380.4904729424904, 158.08673945121973]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 142, -353, 380.4904729424904, 158.08673945121973]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 37.03048964678231, 13.82056194802989, 21450, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 142, -353, 380.4904729424904, 158.08673945121973]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 37.03048964678231, 13.82056194802989, 21000, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 142, -351, 378.6357088284199, 157.97379213987247]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 142, -350, 377.7088826066975, 157.91690261844673]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1920, 142, -350, 377.7088826066975, 157.91690261844673]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1856, 142, -350, 377.7088826066975, 157.91690261844673]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 4 | Msg: [0, 'No Information', 'AMC421__']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1792, 142, -349, 376.78243058826405, 157.85973327466598]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1728, 141, -348, 375.479693192588, 157.94356647296064]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 36.981656349311436, 13.84528118631114, 20500, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 4 | Msg: [0, 'No Information', 'AMC421__']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1728, 140, -345, 372.3237838226293, 157.91282839677166]
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 11 | Msg: ['No Condition', 36.981656349311436, 13.84528118631114, 20175, 'BARO']
DF: 10001 | ICAO: 010011010010000000100011 | Type Code: 19 | Msg: [475, 'GNSS', -1728, 139, -344, 371.0215627156999, 157.99785537069573]
